trialN,EmoResp,ConfResp,EmoRT,ConfRT,trialSuccess,StimFile,MorphLevel,Indiv,SubID
31,1,NaN,0.185318400035612,NaN,1,SHINEd_m08_022_mask.tif,22,m08,998
32,0,NaN,0.301511600031517,NaN,1,SHINEd_f06_177_mask.tif,177,f06,998
33,0,NaN,0.21898180001881,NaN,1,SHINEd_f24_133_mask.tif,133,f24,998
34,1,NaN,0.138109599996824,NaN,1,SHINEd_m08_000_mask.tif,0,m08,998
35,0,NaN,0.392200600006618,NaN,1,SHINEd_m31_199_mask.tif,199,m31,998
36,1,NaN,0.219684000010602,NaN,1,SHINEd_f06_044_mask.tif,44,f06,998
37,1,NaN,0.386340199969709,NaN,1,SHINEd_f24_044_mask.tif,44,f24,998
38,0,NaN,0.32575579994591,NaN,1,SHINEd_f06_111_mask.tif,111,f06,998
39,1,NaN,0.441315000003669,NaN,1,SHINEd_f06_044_mask.tif,44,f06,998
40,1,NaN,0.270475100027397,NaN,1,SHINEd_f06_111_mask.tif,111,f06,998
41,1,NaN,0.300434200034942,NaN,1,SHINEd_m08_066_mask.tif,66,m08,998
42,1,NaN,0.587463999981992,NaN,1,SHINEd_m31_044_mask.tif,44,m31,998
43,0,NaN,0.369807800045237,NaN,1,SHINEd_m08_177_mask.tif,177,m08,998
44,1,NaN,0.513651499990374,NaN,1,SHINEd_m31_000_mask.tif,0,m31,998
45,1,NaN,0.431662799965125,NaN,1,SHINEd_f06_000_mask.tif,0,f06,998
46,0,NaN,0.288535400002729,NaN,1,SHINEd_m31_133_mask.tif,133,m31,998
47,0,NaN,0.339403599966317,NaN,1,SHINEd_f06_133_mask.tif,133,f06,998
48,0,NaN,0.28861460002372,NaN,1,SHINEd_f24_155_mask.tif,155,f24,998
49,0,NaN,0.239347199967597,NaN,1,SHINEd_m31_155_mask.tif,155,m31,998
50,0,NaN,0.692106900038198,NaN,1,SHINEd_f06_044_mask.tif,44,f06,998
51,NaN,NaN,NaN,NaN,NaN,SHINEd_m31_066_mask.tif,66,m31,998
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
