trialN,EmoResp,ConfResp,EmoRT,ConfRT,trialSuccess,StimFile,MorphLevel,Indiv,SubID
132,1,3,0.482387900003232,0.485035399993649,1,SHINEd_m08_022_mask.tif,22,m08,999
133,0,3,0.62219449999975,0.343202399992151,1,SHINEd_f24_133_mask.tif,133,f24,999
134,1,3,0.270663600007538,0.378388399985852,1,SHINEd_m31_000_mask.tif,0,m31,999
135,1,3,0.253451900003711,0.295085899997503,1,SHINEd_m08_066_mask.tif,66,m08,999
136,0,2,0.47282919997815,0.397875599999679,1,SHINEd_f06_088_mask.tif,88,f06,999
137,0,2,0.306585099984659,0.373615299991798,1,SHINEd_f06_133_mask.tif,133,f06,999
138,0,3,0.292870600009337,0.518947900010971,1,SHINEd_m31_133_mask.tif,133,m31,999
139,1,3,0.259276900003897,0.270460600004299,1,SHINEd_m31_044_mask.tif,44,m31,999
140,0,3,0.428492399980314,0.358148700004676,1,SHINEd_f24_155_mask.tif,155,f24,999
141,0,2,0.551157600013539,0.373122999997577,1,SHINEd_m31_088_mask.tif,88,m31,999
142,0,3,0.274178799998481,0.302376200008439,1,SHINEd_m08_133_mask.tif,133,m08,999
143,1,2,0.148759200004861,0.486394500010647,1,SHINEd_m08_044_mask.tif,44,m08,999
144,0,3,0.352446300006704,0.277071300020907,1,SHINEd_f06_133_mask.tif,133,f06,999
145,0,3,0.288494100008393,0.307023300003493,1,SHINEd_f24_177_mask.tif,177,f24,999
146,1,3,0.204686400014907,0.275079000013648,1,SHINEd_f24_000_mask.tif,0,f24,999
147,1,2,0.327637000009418,0.262987299996894,1,SHINEd_m31_000_mask.tif,0,m31,999
148,0,2,0.311584499984747,0.358538299973588,1,SHINEd_m08_133_mask.tif,133,m08,999
149,0,2,0.420894300012151,0.287393100006739,1,SHINEd_m08_177_mask.tif,177,m08,999
150,1,3,0.362571900011972,0.517666400002781,1,SHINEd_f24_000_mask.tif,0,f24,999
151,1,2,0.413320099993143,0.222105699998792,1,SHINEd_m08_044_mask.tif,44,m08,999
152,1,3,0.364436600008048,0.367180900007952,1,SHINEd_m31_000_mask.tif,0,m31,999
153,1,1,0.270321699994383,0.412638400011929,1,SHINEd_f06_044_mask.tif,44,f06,999
154,1,1,0.365984900010517,0.327282200014452,1,SHINEd_m31_088_mask.tif,88,m31,999
155,0,3,0.22384890000103,0.35584539998672,1,SHINEd_f24_199_mask.tif,199,f24,999
156,0,3,0.336797500000102,0.245311200007563,1,SHINEd_m31_177_mask.tif,177,m31,999
157,0,3,0.289878200012026,0.26096799998777,1,SHINEd_f24_199_mask.tif,199,f24,999
158,1,3,0.35091010000906,0.238248000008753,1,SHINEd_m31_044_mask.tif,44,m31,999
159,0,3,0.301129599974956,0.254107699991437,1,SHINEd_f24_199_mask.tif,199,f24,999
160,1,2,0.158199299999978,0.348621500015724,1,SHINEd_m31_000_mask.tif,0,m31,999
161,1,3,0.204095100023551,0.364960400009295,1,SHINEd_m31_022_mask.tif,22,m31,999
162,1,3,0.00182460001087748,0.329463500005659,1,SHINEd_f24_088_mask.tif,88,f24,999
163,0,3,0.194813499983866,0.317416200006846,1,SHINEd_m08_177_mask.tif,177,m08,999
164,0,3,0.309035099984612,0.262565599987283,1,SHINEd_m31_199_mask.tif,199,m31,999
165,0,3,0.21498370001791,0.245223600009922,1,SHINEd_f06_111_mask.tif,111,f06,999
166,0,3,0.0400012000172865,0.394865700014634,1,SHINEd_f06_155_mask.tif,155,f06,999
167,1,3,0.239469599997392,0.317061999987345,1,SHINEd_f24_022_mask.tif,22,f24,999
168,0,3,0.236209900001995,0.340839300013613,1,SHINEd_f24_133_mask.tif,133,f24,999
